movie_id,title,cast,crew,id,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
,Every Single Minute,,,825567.0,0.0,0.0,Released,2021-08-26,0.0,80.0,False,/vClkWIG5Mc3HZNtvQcvh1YnmILQ.jpg,0.0,,tt14950380,cs,Každá minuta života,"The Hanuliaks, a couple from Slovakia, have decided to bring up their son according to Kamevéda, a complex approach to developing the child’s motor abilities and intellect. Unique in its depth of focus, this reflection on child-rearing documents a year in the life of four-year-old Miško, where not a minute is wasted since there is no room for boredom and moments of rest are merely preparation for the next achievement.",0.6,/lWlGDpkDRb1FZeO72ef8htxkeOs.jpg,,Documentary,"Endorfilm, Česká televize, Punkchart films","Czech Republic, Slovakia","Czech, Slovak",
,Young Pink 7,,,825568.0,0.0,0.0,Released,2004-11-01,0.0,116.0,True,,0.0,,,en,Young Pink 7,"Yes - the oldest is only 19! And two love hard cocks up their young tight assholes...18 year-old Patricia and 19 year-old Hillary. Bouncy Nicole's 19 and a cheerleader, while 19 year-old Brandy is a sultry brunette. Tyra's also 19 and was a bit embarrassed getting so wet in her first sex scene, but we think you'll forgive her.",0.6,/5PQxE9byyA0gOPwJP66lVEF6oto.jpg,,,Simon Wolf Productions,United States of America,English,
,bts - love yourself speak yourself final,,,825569.0,0.0,0.0,Released,,0.0,0.0,False,,0.0,,,fr,bts - love yourself speak yourself final,,0.6,/xRfEVy67oc6xR5H0WUfeJxhmLHt.jpg,,,,,,
,Heart of the Country,,,269371.0,0.0,0.0,Released,1997-05-11,0.0,90.0,False,,0.0,http://www.uaf.edu/museum/collections/docfilm/policies/heart_of_the_country,tt0176806,en,Heart of the Country,"""Heart of the Country"" is the story of Shinichi Yasutomo, the extraordinary principal of a rural elementary school in Kanayama, central Hokkaido, Northern Japan. Yasutomo is a man driven by his vision for learning and his passion for educating the heart as well as the mind. The film follows Yasutomo, his teachers and staff, students and their families over the course of one entire school year. The film is also the story of the families of Kanayama. Parents and elders of this once impoverished town embrace Yasutomo's vision, but not without wary glances back to the past. This small community, bound together by love for its children, is also defined by its journey through the cultural upheavals of postwar Japan.",0.6,,,Documentary,University of Alaska Museum of the North,Japan,Japanese,"japan, anthropology, enthnographical"
,Transgender: To Be A Man,,,825571.0,0.0,0.0,Released,2016-01-01,0.0,24.0,False,,0.0,,,en,Transgender: To Be A Man,"This is a story about Levi Hansinger, who transitioned from female to male. Over the first year of the transition he struggles through finding himself, but with the continuous support of this mother and family, he aims to find out what it means to become a man.",0.6,/78YQIBU7abB6lppqzwNPyRxplHe.jpg,,Documentary,,,,
,20 Teens Who Like To Suck Cocks,,,825572.0,0.0,0.0,Released,2005-06-06,0.0,119.0,True,,0.0,,,en,20 Teens Who Like To Suck Cocks,"Teens sucking cocks! These 20 playful young nymphs can't wait to shove their firm naked breasts into your face…then suck every drop of hot cum out of your throbbing cock. Yeah, these 20 sizzling scenes from Simon Wolf Bold are especially for you.",0.6,/7hyLotg2s8TeQqgGL7756vDrD6h.jpg,,,Simon Wolf Productions,United States of America,English,"blow job, compilation"
,Stalking Hitler's Generals,,,825573.0,0.0,0.0,Released,2011-01-01,0.0,0.0,False,,0.0,,tt2636826,en,Stalking Hitler's Generals,,0.6,/4qBZj8HK2iWAsg7249XVfBOlBPY.jpg,,Documentary,,,,
,Love is an Elevator,,,825574.0,0.0,0.0,Released,2014-01-01,0.0,2.0,False,,0.0,,,ja,恋はエレベーター,The story about two elevators which their love does not grow because of swayed by people around them.,0.6,/gXu80Im6qvG7TuQ91hHCYbLQ1a2.jpg,,Animation,,Japan,No Language,
,Till Eulenspiegel,,,825575.0,0.0,0.0,Released,2014-12-26,0.0,0.0,False,,0.0,,tt5598038,de,Till Eulenspiegel,,0.6,/edA5hfKim5VXYOC4IQ5ZLnuMUdx.jpg,,Animation,,Germany,German,
,Footnote to a Season,,,825576.0,0.0,0.0,Released,2021-05-01,0.0,5.0,False,,0.0,https://juliadograbrazell.com/12-2/footnote-to-a-season-2020/,,fr,Footnote to a Season,"A couple argues, a lethal twist of past and future plays out in ordinary lives.  Adapted from Arthur Rimbaud’s enigmatic poems War and Fragments of Folio 12, this new interpretation of the poems offers a stark warning to an age where time – fragmented, decontextualised and stored as optical or auditory data – accumulates, while memory fades.",0.6,/o0jRb4zc9QHUKyu0PZd3WVPtzYp.jpg,,,,"France, United Kingdom",French,
,Celebrity Stalker,,,825577.0,0.0,0.0,Released,2020-07-15,0.0,5.0,False,/a5rWqzGz7CDFO5Kb3wveEwqnWws.jpg,1000.0,https://www.roshnibhatia.com/work/celebrity-stalker,tt12747796,en,Celebrity Stalker,"A ""celebrity stalker"" broadcasts herself on social media breaking into homes of the elite, unaware that she may have picked up her own stalker along the way.",0.6,/dYXMdS0pjKNWbmqwNcNrdtuWF4z.jpg,,Horror,,United States of America,English,
,AYOR,,,825581.0,0.0,0.0,Released,2021-05-01,0.0,11.0,False,,0.0,https://www.dutchmountainfilm.nl/portfolio-item/ayor/,tt14318910,nl,AYOR,"In 1970, during the annual Dutch national commemoration of those fallen in World War II, two men try to make a statement against gay discrimination.",0.6,/rHTlttmx1sZlAkCA77ENL2YYtrx.jpg,,"Drama, History",Dutch Mountain Film,,Dutch,"lgbt, gay theme, short film, lgbt activism, lgbt rights, commemoration"
,Gigantes do Samba - Ao Vivo Multishow,,,825762.0,0.0,0.0,Released,2014-04-09,0.0,0.0,False,/n1Y4FvRPYTOhYEf6ShXN4ONXeKt.jpg,0.0,,,pt,Gigantes do Samba - Ao Vivo Multishow,,0.6,/hVZO4fozFN1zTHcM93FDmaU4xaP.jpg,,Music,,,Portuguese,
,Rendezvous with Forgotten Years,,,269303.0,0.0,0.0,Released,1957-04-22,0.0,89.0,False,,0.0,,tt0143904,no,Stevnemøte med glemte år,Mona Hofland is a nastily manipulative woman who enjoys playing one lover against the other.,0.6,/ayQ6Unan7irLiCG31NmagmG20L2.jpg,,Drama,,Norway,Norwegian,
